system_name,HBM_power(W),HTC(kW/(m2K)),TIM_conductivity(W/(mK)),infill_conductivity(W/(mK)),underfill_conductivity(W/(mK)),HBM_stack_height,dummy_Si,calibrate_GPU_slope,calibrate_GPU_intercept,calibrate_HBM_slope,calibrate_HBM_intercept
2p5D_1GPU,6.8024,7.0,5.0,1.6,19.0,8,False,0.183,26.31,0.178,26.76
2p5D_1GPU,5.0,7.0,5.0,19.0,1.6,8,False,0.168,27.50,0.166,27.65
2p5D_1GPU,5.6,7.0,5.0,19.0,1.6,8,False,0.169,27.32,0.168,27.47
2p5D_1GPU,6.8024,7.0,5.0,19.0,1.6,8,False,0.173,26.94,0.172,27.10
2p5D_1GPU,5.0,7.0,5.0,19.0,19.0,8,False,0.169,27.35,0.166,27.69
2p5D_1GPU,5.6,7.0,5.0,19.0,19.0,8,False,0.171,27.17,0.168,27.51
2p5D_1GPU,6.8024,7.0,5.0,19.0,19.0,8,False,0.175,26.81,0.172,27.14
2p5D_1GPU,5.0,7.0,50.0,1.6,1.6,8,False,0.149,29.56,0.145,29.87
2p5D_1GPU,5.6,7.0,50.0,1.6,1.6,8,False,0.151,29.40,0.147,29.71
2p5D_1GPU,6.8024,7.0,50.0,1.6,1.6,8,False,0.154,29.09,0.150,29.39
2p5D_1GPU,5.0,7.0,50.0,1.6,19.0,8,False,0.152,29.14,0.150,29.39
2p5D_1GPU,5.6,7.0,50.0,1.6,19.0,8,False,0.154,28.98,0.151,29.23
2p5D_1GPU,6.8024,7.0,50.0,1.6,19.0,8,False,0.157,28.66,0.155,28.90
2p5D_1GPU,5.0,7.0,50.0,19.0,1.6,8,False,0.146,29.77,0.145,29.87
2p5D_1GPU,5.6,7.0,50.0,19.0,1.6,8,False,0.148,29.61,0.146,29.71
2p5D_1GPU,6.8024,7.0,50.0,19.0,1.6,8,False,0.151,29.30,0.150,29.39
2p5D_1GPU,5.0,7.0,50.0,19.0,19.0,8,False,0.146,29.73,0.146,29.79
2p5D_1GPU,5.6,7.0,50.0,19.0,19.0,8,False,0.148,29.57,0.148,29.63
2p5D_1GPU,6.8024,7.0,50.0,19.0,19.0,8,False,0.152,29.17,0.151,29.23
3D_1GPU_top,5.0,10.0,5.0,1.6,1.6,8,True,0.125,48.63,0.127,49.08
3D_1GPU_top,5.6,10.0,5.0,1.6,1.6,8,True,0.125,49.08,0.127,49.60
3D_1GPU_top,6.8024,10.0,5.0,1.6,1.6,8,True,0.125,50.10,0.124,51.04
3D_1GPU_top,5.0,10.0,5.0,1.6,19.0,8,True,0.125,48.72,0.125,49.33
3D_1GPU_top,5.6,10.0,5.0,1.6,19.0,8,True,0.125,49.17,0.125,49.84
3D_1GPU_top,6.8024,10.0,5.0,1.6,19.0,8,True,0.125,50.08,0.125,50.85
3D_1GPU_top,5.0,10.0,5.0,19.0,1.6,8,True,0.125,48.63,0.126,49.00
3D_1GPU_top,5.6,10.0,5.0,19.0,1.6,8,True,0.125,49.08,0.126,49.48
3D_1GPU_top,6.8024,10.0,5.0,19.0,1.6,8,True,0.125,50.10,0.125,50.63
3D_1GPU_top,5.0,10.0,5.0,19.0,19.0,8,True,0.125,48.70,0.127,49.06
3D_1GPU_top,5.6,10.0,5.0,19.0,19.0,8,True,0.125,49.15,0.127,49.53
3D_1GPU_top,6.8024,10.0,5.0,19.0,19.0,8,True,0.125,50.06,0.127,50.45
3D_1GPU_top,5.0,10.0,50.0,1.6,1.6,8,True,0.103,47.98,0.106,48.40
3D_1GPU_top,5.6,10.0,50.0,1.6,1.6,8,True,0.103,48.35,0.106,48.88
3D_1GPU_top,6.8024,10.0,50.0,1.6,1.6,8,True,0.103,49.22,0.103,50.16
3D_1GPU_top,5.0,10.0,50.0,1.6,19.0,8,True,0.103,47.98,0.105,48.37
3D_1GPU_top,5.6,10.0,50.0,1.6,19.0,8,True,0.104,48.32,0.103,49.22
3D_1GPU_top,6.8024,10.0,50.0,1.6,19.0,8,True,0.104,49.07,0.103,49.95
3D_1GPU_top,5.0,10.0,50.0,19.0,1.6,8,True,0.104,47.97,0.104,48.39
3D_1GPU_top,5.6,10.0,50.0,19.0,1.6,8,True,0.104,48.35,0.104,48.75
3D_1GPU_top,6.8024,10.0,50.0,19.0,1.6,8,True,0.103,49.22,0.103,49.75
3D_1GPU_top,5.0,10.0,50.0,19.0,19.0,8,True,0.104,47.95,0.104,48.54
3D_1GPU_top,5.6,10.0,50.0,19.0,19.0,8,True,0.104,48.31,0.104,48.89
3D_1GPU_top,6.8024,10.0,50.0,19.0,19.0,8,True,0.104,49.06,0.106,49.31
3D_1GPU,5.0,10.0,5.0,1.6,1.6,8,True,0.135,49.04,0.134,49.11
3D_1GPU,5.6,10.0,5.0,1.6,1.6,8,True,0.135,49.43,0.134,49.54
3D_1GPU,6.8024,10.0,5.0,1.6,1.6,8,True,0.135,50.38,0.134,50.44
3D_1GPU,5.0,10.0,5.0,1.6,19.0,8,True,0.133,48.92,0.132,49.03
3D_1GPU,5.6,10.0,5.0,1.6,19.0,8,True,0.133,49.38,0.132,49.50
3D_1GPU,6.8024,10.0,5.0,1.6,19.0,8,True,0.133,50.31,0.132,50.49
3D_1GPU,5.0,10.0,5.0,19.0,1.6,8,True,0.135,48.91,0.134,49.15
3D_1GPU,5.6,10.0,5.0,19.0,1.6,8,True,0.135,49.38,0.134,49.61
3D_1GPU,6.8024,10.0,5.0,19.0,1.6,8,True,0.135,50.31,0.134,50.51
3D_1GPU,5.0,10.0,5.0,19.0,19.0,8,True,0.133,48.89,0.127,50.27
3D_1GPU,5.6,10.0,5.0,19.0,19.0,8,True,0.133,49.36,0.127,50.74
3D_1GPU,6.8024,10.0,5.0,19.0,19.0,8,True,0.133,50.30,0.127,51.65
3D_1GPU,5.0,10.0,50.0,1.6,1.6,8,True,0.112,48.39,0.111,48.65
3D_1GPU,5.6,10.0,50.0,1.6,1.6,8,True,0.112,48.78,0.111,49.03
3D_1GPU,6.8024,10.0,50.0,1.6,1.6,8,True,0.112,49.55,0.111,49.78
3D_1GPU,5.0,10.0,50.0,1.6,19.0,8,True,0.110,48.35,0.109,48.59
3D_1GPU,5.6,10.0,50.0,1.6,19.0,8,True,0.111,48.74,0.110,48.91
3D_1GPU,6.8024,10.0,50.0,1.6,19.0,8,True,0.111,49.51,0.110,49.70
3D_1GPU,5.0,10.0,50.0,19.0,1.6,8,True,0.113,48.24,0.112,48.41
3D_1GPU,5.6,10.0,50.0,19.0,1.6,8,True,0.113,48.63,0.112,48.77
3D_1GPU,6.8024,10.0,50.0,19.0,1.6,8,True,0.113,49.41,0.112,49.55
3D_1GPU,5.0,10.0,50.0,19.0,19.0,8,True,0.111,48.25,0.109,48.86
3D_1GPU,5.6,10.0,50.0,19.0,19.0,8,True,0.111,48.63,0.108,49.34
3D_1GPU,6.8024,10.0,50.0,19.0,19.0,8,True,0.111,49.41,0.108,50.14
2p5D_1GPU,5.0,10.0,5.0,1.6,1.6,8,False,0.081,33.93,0.078,34.31
2p5D_1GPU,5.6,10.0,5.0,1.6,1.6,8,False,0.123,29.78,0.120,30.21
2p5D_1GPU,6.8024,10.0,5.0,1.6,1.6,8,False,0.126,29.46,0.122,29.89
2p5D_1GPU,5.0,10.0,5.0,1.6,19.0,8,False,0.090,32.72,0.086,33.27
2p5D_1GPU,5.6,10.0,5.0,1.6,19.0,8,False,0.137,28.04,0.131,28.79
2p5D_1GPU,6.8024,10.0,5.0,1.6,19.0,8,False,0.140,27.70,0.134,28.45
2p5D_1GPU,5.0,10.0,5.0,19.0,1.6,8,False,0.078,34.39,0.077,34.51
2p5D_1GPU,5.6,10.0,5.0,19.0,1.6,8,False,0.118,30.39,0.118,30.46
2p5D_1GPU,6.8024,10.0,5.0,19.0,1.6,8,False,0.126,29.52,0.122,29.97
2p5D_1GPU,5.0,10.0,5.0,19.0,19.0,8,False,0.080,34.05,0.079,34.17
2p5D_1GPU,5.6,10.0,5.0,19.0,19.0,8,False,0.123,29.85,0.121,30.01
2p5D_1GPU,6.8024,10.0,5.0,19.0,19.0,8,False,0.125,29.54,0.124,29.69
2p5D_1GPU,5.0,10.0,50.0,1.6,1.6,8,False,0.068,35.73,0.065,36.09
2p5D_1GPU,5.6,10.0,50.0,1.6,1.6,8,False,0.104,32.21,0.100,32.67
2p5D_1GPU,6.8024,10.0,50.0,1.6,1.6,8,False,0.106,31.95,0.102,32.40
2p5D_1GPU,5.0,10.0,50.0,1.6,19.0,8,False,0.066,35.95,0.066,36.03
2p5D_1GPU,5.6,10.0,50.0,1.6,19.0,8,False,0.102,32.45,0.100,32.65
2p5D_1GPU,6.8024,10.0,50.0,1.6,19.0,8,False,0.104,32.19,0.102,32.38
2p5D_1GPU,5.0,10.0,50.0,19.0,1.6,8,False,0.067,35.79,0.065,36.10
2p5D_1GPU,5.6,10.0,50.0,19.0,1.6,8,False,0.104,32.23,0.100,32.67
2p5D_1GPU,6.8024,10.0,50.0,19.0,1.6,8,False,0.106,31.97,0.102,32.40
2p5D_1GPU,5.0,10.0,50.0,19.0,19.0,8,False,0.066,35.99,0.066,36.05
2p5D_1GPU,5.6,10.0,50.0,19.0,19.0,8,False,0.101,32.53,0.100,32.66
2p5D_1GPU,6.8024,10.0,50.0,19.0,19.0,8,False,0.103,32.27,0.102,32.40
3D_1GPU_top,9.0,7.0,5.0,1.6,1.6,16,True,0.162,53.75,0.163,54.35
3D_1GPU_top,9.4,7.0,5.0,1.6,1.6,16,True,0.162,54.15,0.163,54.75
3D_1GPU_top,10.1218,7.0,5.0,1.6,1.6,16,True,0.162,54.85,0.163,55.47
2p5D_1GPU,9.0,7.0,5.0,1.6,1.6,16,False,0.183,25.99,0.180,26.29
2p5D_1GPU,9.4,7.0,5.0,1.6,1.6,16,False,0.184,25.88,0.181,26.17
2p5D_1GPU,10.1218,7.0,5.0,1.6,1.6,16,False,0.186,25.66,0.183,25.95
3D_1GPU,9.0,7.0,5.0,1.6,1.6,16,True,0.175,54.00,0.172,54.59
3D_1GPU,9.4,7.0,5.0,1.6,1.6,16,True,0.175,54.41,0.172,54.98
3D_1GPU,10.1218,7.0,5.0,1.6,1.6,16,True,0.175,55.13,0.173,55.35
