backend_kind,hardware_config,model_config,thermal_config,thermal_case,system_name,htc,tim_cond,infill_cond,underfill_cond,hbm_stack_height,dummy_si,no_throttle,runtime_seconds,gpu_peak_temperature_c,hbm_peak_temperature_c,gpu_time_frac_idle,nominal_frequency_ghz,hbm_bandwidth_gbps,iterations,system_name2,runtime_seconds2,normalization_constant,normalized_runtime,normalized_performance,model_name
rapid,dedeepyo_integration/Rapid-LLM/configs/hardware-config/a100_80GB_legacy_thermal_port.yaml,dedeepyo_integration/Rapid-LLM/configs/model-config/Llama2-7B_train_2048_thermal.yaml,dedeepyo_integration/configs/thermal/2.5D_baseline_16high.yaml,2.5D_baseline_16high,2p5D_1GPU,7,5,1.6,1.6,16,FALSE,FALSE,0.17747425,92.2,91.4,0.02915452,1.41,3160,2,2p5D_1GPU,0.17747425,0.17559238,1.010717265,0.989396377,Llama2-7B
rapid,dedeepyo_integration/Rapid-LLM/configs/hardware-config/a100_80GB_legacy_thermal_port.yaml,dedeepyo_integration/Rapid-LLM/configs/model-config/Llama2-7B_train_2048_thermal.yaml,dedeepyo_integration/configs/thermal/3D_baseline_16high.yaml,3D_baseline_16high,3D_1GPU,7,5,1.6,1.6,16,TRUE,FALSE,0.20732671,93.8,93.7,0.02490863,1.111686082,12000,31,3D_1GPU,0.20732671,0.17012697,1.218658688,0.8205743,Llama2-7B
rapid,dedeepyo_integration/Rapid-LLM/configs/hardware-config/a100_80GB_legacy_thermal_port.yaml,dedeepyo_integration/Rapid-LLM/configs/model-config/Llama2-7B_train_2048_thermal.yaml,dedeepyo_integration/configs/thermal/3D_top_baseline_16high.yaml,3D_top_baseline_16high,3D_1GPU_top,7,5,1.6,1.6,16,TRUE,FALSE,0.20002685,94.5,95.3,0.02582773,1.159012861,11540,26,3D_1GPU_top,0.20002685,0.17012697,1.175750382,0.850520668,Llama2-7B
rapid,dedeepyo_integration/Rapid-LLM/configs/hardware-config/a100_80GB_legacy_thermal_port.yaml,dedeepyo_integration/Rapid-LLM/configs/model-config/Llama3.1-8B_train_2048_thermal.yaml,dedeepyo_integration/configs/thermal/2.5D_baseline_16high.yaml,2.5D_baseline_16high,2p5D_1GPU,7,5,1.6,1.6,16,FALSE,FALSE,0.25611079,92.7,91.9,0.02019136,1.41,3130,2,2p5D_1GPU,0.25611079,0.25380845,1.009071172,0.991010375,Llama3.1-8B
rapid,dedeepyo_integration/Rapid-LLM/configs/hardware-config/a100_80GB_legacy_thermal_port.yaml,dedeepyo_integration/Rapid-LLM/configs/model-config/Llama3.1-8B_train_2048_thermal.yaml,dedeepyo_integration/configs/thermal/3D_baseline_16high.yaml,3D_baseline_16high,3D_1GPU,7,5,1.6,1.6,16,TRUE,FALSE,0.28951305,94.1,94,0.01782467,1.111686082,11920,31,3D_1GPU,0.28951305,0.24741552,1.170149108,0.854591943,Llama3.1-8B
rapid,dedeepyo_integration/Rapid-LLM/configs/hardware-config/a100_80GB_legacy_thermal_port.yaml,dedeepyo_integration/Rapid-LLM/configs/model-config/Llama3.1-8B_train_2048_thermal.yaml,dedeepyo_integration/configs/thermal/3D_top_baseline_16high.yaml,3D_top_baseline_16high,3D_1GPU_top,7,5,1.6,1.6,16,TRUE,FALSE,0.28126296,94.7,95.6,0.01835525,1.159012861,11460,26,3D_1GPU_top,0.28126296,0.24741552,1.136804029,0.879659092,Llama3.1-8B
